TRE_CN,PREV_TRE_CN,PLT_CN,STATECD,SUBPTYP,SPCD,STATUSCD,DIA,HT,ACTUALHT,CR,STANDING_DEAD_CD,DIAHTCD,CULL,ROUGHCULL,CULLFORM,CULLMSTOP,DECAYCD,TREECLCD,HTDMP,WDLDSTEM,STDORGCD,SITREE,BALIVE,VOLTSGRS,VOLTSGRS_BARK,VOLTSSND,VOLTSSND_BARK,VOLCFGRS_STUMP,VOLCFGRS_STUMP_BARK,VOLCFSND_STUMP,VOLCFSND_STUMP_BARK,VOLCFGRS,VOLCFGRS_BARK,VOLCFGRS_TOP,VOLCFGRS_TOP_BARK,VOLCFSND,VOLCFSND_BARK,VOLCFSND_TOP,VOLCFSND_TOP_BARK,VOLCFNET,VOLCFNET_BARK,VOLCSGRS,VOLCSGRS_BARK,VOLCSSND,VOLCSSND_BARK,VOLCSNET,VOLCSNET_BARK,VOLBFGRS,VOLBFNET,VOLBSGRS,VOLBSNET,DRYBIO_STEM,DRYBIO_STEM_BARK,DRYBIO_STUMP,DRYBIO_STUMP_BARK,DRYBIO_BOLE,DRYBIO_BOLE_BARK,DRYBIO_BRANCH,DRYBIO_FOLIAGE,DRYBIO_AG,DRYBIO_BG,CARBON_AG,CARBON_BG,DRYBIO_SAWLOG,DRYBIO_SAWLOG_BARK,CREATED_DATE,MODIFIED_DATE
205822927010661,55942869010538,120044565010661,44,,316,1,7.8,55,55,30,,1,1,7,,,,2,,,0,,97.5362,7.886147,0.777596,7.807285,0.777596,0.459429,0.045301,0.454835,0.045301,6.80417,0.67091,0.622548,0.061385,6.736128,0.67091,0.616322,0.061385,6.259836,0.623947,,,,,,,,,,,246.761223,36.493617,14.375754,2.126036,212.905653,31.486703,51.173255,9.651505,334.428095,64.41655,162.532054,31.306443,,,2025-03-20 06:49:41,
205822930010661,55942881010538,120044565010661,44,,316,1,7.1,45,45,35,,1,1,7,,,,2,,,0,,97.5362,5.321072,0.700869,5.267861,0.700869,0.372109,0.049013,0.368388,0.049013,4.394568,0.578834,0.554396,0.073023,4.350622,0.578834,0.548852,0.073023,4.043002,0.538316,,,,,,,,,,,173.751611,28.149456,12.150655,1.968525,143.498,23.248076,36.085188,8.698264,237.986255,42.77187,115.66132,20.787129,,,2025-03-20 06:49:41,
225028836010661,62272210010538,145006151010661,44,,129,1,14.0,74,74,40,,1,1,6,,,,2,,,0,,185.6304,33.42082,4.021079,33.086612,4.021079,1.200537,0.144444,1.188531,0.144444,31.915033,3.839908,0.305251,0.036727,31.595883,3.839908,0.302198,0.036727,29.680981,3.609514,29.748084,3.579188,29.450603,3.579188,27.665718,3.364437,139.394629,128.243059,,,744.497974,117.042047,26.74372,4.204363,710.954342,111.768674,195.604543,32.567906,1057.144563,228.402297,535.972293,115.799965,662.682358,104.179866,2025-03-20 06:51:27,
225028831010661,62272200010538,145006151010661,44,,126,1,17.2,77,77,30,,1,1,5,,,,2,,,0,,185.6304,50.34135,12.478065,49.837936,12.478065,1.697045,0.420645,1.680075,0.420645,48.442758,12.007462,0.201546,0.049957,47.958331,12.007462,0.199531,0.049957,45.536193,11.407089,47.005073,11.651105,46.535023,11.651105,44.184769,11.068549,205.510517,182.90436,,,1734.501211,240.482905,58.471361,8.106862,1669.085618,231.413247,584.461162,58.143159,2559.445277,425.188631,1220.855397,202.814977,1619.550463,224.545361,2025-03-20 06:51:27,
225028832010661,62272202010538,145006151010661,44,,316,1,7.5,42,42,45,,1,1,7,,,,2,,,0,,185.6304,5.435456,0.829909,5.381102,0.829909,0.404681,0.061788,0.400634,0.061788,4.545782,0.694069,0.484993,0.074051,4.500324,0.694069,0.480143,0.074051,4.18212,0.645485,,,,,,,,,,,180.109704,30.167119,13.409546,2.246005,150.629396,25.229373,42.550128,9.989683,252.826951,43.522138,122.873898,21.151759,,,2025-03-20 06:51:27,
225028835010661,62272208010538,145006151010661,44,,316,1,7.3,34,34,40,,1,1,7,,,,2,,,0,,185.6304,4.087649,0.880983,4.046772,0.880983,0.368499,0.07942,0.364814,0.07942,3.321963,0.71596,0.397187,0.085603,3.288743,0.71596,0.393215,0.085603,3.056206,0.665843,,,,,,,,,,,141.352246,26.103225,12.742821,2.35319,114.874559,21.213646,37.186617,10.339227,204.642087,32.060461,99.456054,15.581384,,,2025-03-20 06:51:27,
225028788010661,62272120010538,145006151010661,44,,129,1,1.0,10,10,80,,1,,,,,,2,,,0,,185.6304,0.054672,0.024529,0.054672,0.024529,,,,,,,,,,,,,,,,,,,,,,,,,0.781478,0.140691,,,,,0.247687,0.494179,1.169857,0.335288,0.593117,0.169991,,,2025-03-20 06:51:27,
225028789010661,62272122010538,145006151010661,44,,802,1,9.5,51,51,35,,1,1,8,,,,2,,,0,,185.6304,11.004068,2.18558,10.894027,2.18558,0.808531,0.160587,0.800445,0.160587,9.778392,1.942141,0.417145,0.082852,9.680608,1.942141,0.412974,0.082852,8.898336,1.78677,,,,,,,,,,,376.346664,52.350565,27.6523,3.84649,334.427703,46.519555,82.568793,20.405601,511.266023,112.081873,253.587947,55.592609,,,2025-03-20 06:51:27,
225028791010661,62272126010538,145006151010661,44,,129,1,5.0,28,28,35,,1,1,2,,,,2,,,0,,185.6304,1.957019,0.581852,1.937449,0.581852,0.173572,0.051605,0.171836,0.051605,1.141815,0.339479,0.641633,0.190767,1.130397,0.339479,0.635216,0.190767,1.107561,0.33269,,,,,,,,,,,39.205523,7.503139,3.477208,0.665467,22.874305,4.377677,19.221531,7.642668,65.930194,9.210042,33.426608,4.669491,,,2025-03-20 06:51:27,
225028795010661,62272134010538,145006151010661,44,,129,1,5.5,24,24,60,,1,1,2,,,,2,,,0,,185.6304,1.881775,0.736726,1.862957,0.736726,0.192354,0.075308,0.19043,0.075308,1.234593,0.48335,0.454828,0.178068,1.222247,0.48335,0.45028,0.178068,1.197555,0.473683,,,,,,,,,,,36.086014,7.373861,3.688692,0.753752,23.67527,4.837834,29.749847,11.06355,73.209723,9.791417,37.11733,4.964248,,,2025-03-20 06:51:27,
225028796010661,62272136010538,145006151010661,44,,802,1,5.9,46,46,40,,1,1,4,,,,2,,,0,,185.6304,3.969485,0.778526,3.92979,0.778526,0.318192,0.062406,0.31501,0.062406,2.981792,0.584812,0.669501,0.131308,2.951974,0.584812,0.662806,0.131308,2.832702,0.561419,,,,,,,,,,,162.529002,26.183794,13.028255,2.098882,122.088286,19.668702,18.357781,7.918201,207.070577,39.336458,102.707006,19.510883,,,2025-03-20 06:51:27,
225028790010661,62272124010538,145006151010661,44,,126,1,9.9,58,58,30,,1,1,4,,,,2,,,0,,185.6304,12.415362,3.547832,12.291208,3.547832,0.54513,0.155777,0.539679,0.155777,11.492498,3.284113,0.377734,0.107942,11.377573,3.284113,0.373957,0.107942,10.917873,3.152749,8.879787,2.537501,8.790989,2.537501,8.435797,2.436001,36.287321,34.835828,,,422.32236,67.296356,18.543199,2.954827,390.930122,62.294055,116.980829,20.687544,606.599545,104.978942,289.347983,50.074955,302.055843,48.132089,2025-03-20 06:51:27,
225028794010661,62272132010538,145006151010661,44,,126,1,9.5,61,61,30,,1,1,4,,,,2,,,0,,185.6304,11.969231,3.424002,11.849538,3.424002,0.50142,0.14344,0.496406,0.14344,11.040388,3.158291,0.427423,0.122272,10.929984,3.158291,0.423149,0.122272,10.488369,3.031959,8.104965,2.318563,8.023915,2.318563,7.699716,2.225821,31.93375,30.6564,,,413.635923,65.242332,17.328198,2.733157,381.536728,60.179362,98.440797,17.695938,577.319052,101.249167,275.381188,48.295852,280.093571,44.178846,2025-03-20 06:51:27,
225028823010661,62272184010538,145006151010661,44,,126,1,11.6,76,76,25,,1,1,5,,,,2,,,0,,185.6304,22.195309,5.93728,21.973356,5.93728,0.757409,0.202608,0.749835,0.202608,21.050975,5.631169,0.386925,0.103503,20.840465,5.631169,0.383056,0.103503,19.787916,5.349611,18.331314,4.903656,18.148001,4.903656,17.231435,4.658473,71.08192,67.527824,,,792.107657,114.859594,27.030452,3.919551,751.268595,108.937725,161.596837,22.585917,1068.564088,189.659675,509.70507,90.467665,654.209156,94.863618,2025-03-20 06:51:27,
225028787010661,62272118010538,145006151010661,44,,129,1,1.3,13,13,60,,1,,,,,,2,,,0,,185.6304,0.108696,0.040235,0.108696,0.040235,,,,,,,,,,,,,,,,,,,,,,,,,1.647117,0.293279,,,,,0.453993,0.704906,2.394389,0.598084,1.213955,0.303228,,,2025-03-20 06:51:27,
225028833010661,62272204010538,145006151010661,44,,316,1,11.2,37,37,55,,1,3,20,,,,3,,,0,,185.6304,9.694143,2.287818,9.403318,2.287818,0.809601,0.191066,0.785313,0.191066,8.611289,2.032264,0.273252,0.064488,8.35295,2.032264,0.265055,0.064488,6.630693,1.625812,,,,,,,,,,,319.630048,57.82694,26.693728,4.829385,283.926786,51.367565,150.31002,23.481124,527.767008,74.149718,256.494766,36.036763,,,2025-03-20 06:51:27,
225028804010661,62272148010538,145006151010661,44,,802,1,9.9,75,75,40,,1,1,8,,,,2,,,0,,185.6304,17.366509,2.127479,17.192844,2.127479,0.920583,0.112776,0.911377,0.112776,15.832654,1.939574,0.613273,0.075129,15.674327,1.939574,0.60714,0.075129,14.407715,1.784408,,,,,,,,,,,593.888811,81.739604,31.481504,4.332942,541.434997,74.520148,118.782839,16.908503,794.411253,179.787237,394.027982,89.17447,,,2025-03-20 06:51:27,
225028834010661,62272206010538,145006151010661,44,,126,1,16.7,61,61,35,,1,1,7,,,,2,,,0,,185.6304,37.992997,9.768942,37.613067,9.768942,1.591618,0.409244,1.575701,0.409244,36.236519,9.317308,0.164861,0.04239,35.874153,9.317308,0.163212,0.04239,33.337597,8.665096,35.060914,9.01503,34.710305,9.01503,32.256041,8.383978,169.092516,157.25604,,,1200.462594,178.530229,50.29025,7.479058,1144.963249,170.276485,607.554462,69.978484,1986.547285,318.568806,947.583055,151.95732,1107.817733,164.752283,2025-03-20 06:51:27,
